sym,net,reason,month,cap_after,pos_notional
RENDERUSDT,4.654850232526905,TIME_EXIT,2025-08,635.1031610368154,353.36337739962676
XRPUSDT,1.4792907965262707,TIME_EXIT,2025-08,866.2191762702632,229.63672443692147
APTUSDT,1.32380373632051,TIME_EXIT,2025-08,1016.7747017491615,149.2317217425778
ATOMUSDT,-0.28466845249093986,TIME_EXIT,2025-08,1016.3476848384257,355.87114561220653
XRPUSDT,-0.7390552174416569,TIME_EXIT,2025-08,784.2045759620163,355.721689693449
RENDERUSDT,0.5598915872000545,TIME_EXIT,2025-08,1015.9337648134011,231.16929726418476
NEARUSDT,3.6033667340378086,TIME_EXIT,2025-08,788.2273200194959,355.57681768469035
RENDERUSDT,2.355634219372506,TIME_EXIT,2025-08,1021.6581049794413,231.0751507405729
NEARUSDT,-0.5619425256607073,TIME_EXIT,2025-08,1020.9531303190835,357.58033674280443
APTUSDT,0.9521146530301998,TIME_EXIT,2025-08,1021.762311533869,357.3335956116792
NEARUSDT,-3.106370886342076,TIME_EXIT,2025-08,1018.5128939239122,357.61680903685414
APTUSDT,-4.295378002891194,TIME_EXIT,2025-08,1014.0749241158717,356.47951287336923
NEARUSDT,9.795963766959362,TAKE_PROFIT,2025-09,643.0326044027123,354.9262234405551
RENDERUSDT,6.366005013596188,TAKE_PROFIT,2025-09,880.0509649813876,230.6523555650791
XRPUSDT,2.182896219694701,TIME_EXIT,2025-09,1032.1256009886047,149.8917397875223
RENDERUSDT,-4.479425108290555,STOP_LOSS,2025-09,1027.5016782961757,361.2439603460116
APTUSDT,-1.310379432322876,TIME_EXIT,2025-09,792.2476818850558,359.6255874036615
RENDERUSDT,-1.3770625908251104,TIME_EXIT,2025-09,1024.576903524374,233.7062842301434
NEARUSDT,2.8509664854610377,TIME_EXIT,2025-09,1027.2844292433417,358.6019162335309
APTUSDT,1.0792757704541964,TIME_EXIT,2025-09,1028.2198851937019,359.5495502351696
ATOMUSDT,-0.13163693641059387,TIME_EXIT,2025-09,793.9811085097285,359.87695981779564
APTUSDT,0.2828772050527243,TIME_EXIT,2025-09,1028.1336268219738,233.86964110719268
XRPUSDT,2.307235920158166,TIME_EXIT,2025-09,1030.296924034377,359.8467693876908
ATOMUSDT,1.65351679329273,TIME_EXIT,2025-09,797.3703967634945,360.603923412032
APTUSDT,1.0676262504574439,TIME_EXIT,2025-09,1032.780088682495,234.3420656685431
ATOMUSDT,2.5048219433053074,TIME_EXIT,2025-09,1035.1403214133848,361.4730310388732
ATOMUSDT,4.619715254115294,TIME_EXIT,2025-09,1039.615117022502,362.29911249468466
XRPUSDT,1.7227021542220404,TIME_EXIT,2025-09,1041.192273060341,363.8652909578757
XRPUSDT,-1.8759203218821607,TIME_EXIT,2025-09,802.2556340309028,364.4172955711193
ATOMUSDT,-1.9402894222020741,TIME_EXIT,2025-09,1037.1355683085483,236.82022369984762
