sym,month,net,pnl_pct,reason,entry_px,exit_px,notional,held_bars,cap_after
ROSEUSDT,2026-02,253.51153185040965,6.499999999999995,TAKE_PROFIT,0.016373274317756294,0.017437537148410454,3948.777754679275,37,12111.702987343728
OPUSDT,2026-02,-39.26066505481562,-0.8934377996447473,STALL_EXIT,0.18743747830688953,0.18576284102499485,4033.1970947854616,200,12072.442322288913
ICPUSDT,2026-02,-91.65881108774617,-2.199999999999991,STOP_LOSS,2.375475,2.32321455,4020.123293322208,1,11980.783511201165
APTUSDT,2026-02,-35.4259000882898,-0.8080742774253635,STALL_EXIT,0.9111822133541106,0.903819184267521,3989.069494388879,261,3964.027295926835
ICPUSDT,2026-02,-23.329709604732468,-0.5049188029651708,STALL_EXIT,2.3654730095386505,2.3535292915344237,3988.5381503322265,266,7930.831151914462
ENSUSDT,2026-02,28.580427909800008,0.8000000000000007,TRAILING_LOCK,6.881376114463806,6.9364271233795165,3969.503876361102,23,7959.411579824262
OPUSDT,2026-02,85.41394652815222,2.227585644144514,TRAILING_LOCK,0.14212842634320258,0.14529445876467226,3977.207929333921,54,4064.2127590338073
OPUSDT,2026-02,48.63891963240859,1.2938687501116375,TRAILING_LOCK,0.13922784195542334,0.14102926749393938,4006.933997430581,19,4112.851678666216
DOGEUSDT,2026-02,28.64895234375674,0.8000000000000007,TRAILING_LOCK,0.09708941506594419,0.09786613038647175,3979.0211588550656,127,8122.11339832858
OPUSDT,2026-02,-45.03194821638131,-1.036531254708306,STALL_EXIT,0.13042608200311662,0.12907417489886283,4033.2008644170032,62,8077.081450112199
ATOMUSDT,2026-02,-91.6150791450696,-2.200000000000002,STOP_LOSS,2.009401862955093,1.9651950219700811,4018.2052256609486,22,7985.466370967129
TRXUSDT,2026-02,49.060609908018954,1.3097122199495326,MONTH_END,0.27825564052462576,0.28189998865127563,3989.6009092299882,4481,12025.723730468828
LINKUSDT,2026-03,28.829034677193235,0.8000000000000007,TRAILING_LOCK,8.821763694763183,8.892337804321288,4004.032594054621,28,8048.384936499003
NEARUSDT,2026-03,28.83287521617177,0.8000000000000007,TRAILING_LOCK,1.1412282324314118,1.150358058290863,4004.5660022461198,31,12083.385640362192
DOGEUSDT,2026-03,-91.72967711518766,-2.200000000000002,STOP_LOSS,0.0999499892860651,0.09775108952177167,4023.231452420501,21,7966.279038039098
TRXUSDT,2026-03,-45.41371133581767,-1.0486365889327387,STALL_EXIT,0.28745748724937437,0.28444310286045077,4023.7674182406104,93,11946.242251911186
ANKRUSDT,2026-03,-90.7006496734108,-2.200000000000013,STOP_LOSS,0.0046309258648194376,0.00452904549579341,3978.0986698864253,20,11855.541602237776
ADAUSDT,2026-03,28.42484654552538,0.8000000000000007,TRAILING_LOCK,0.2527505410015583,0.2547725453295708,3947.8953535451797,176,11883.9664487833
ICPUSDT,2026-03,-90.22782686574273,-2.200000000000013,STOP_LOSS,2.6525303503990174,2.5941746826902388,3957.360827444839,17,11793.738621917557
ICPUSDT,2026-03,-89.54278111304716,-2.200000000000013,STOP_LOSS,2.608521640062332,2.5511341639809606,3927.3149610985465,56,11704.19584080451
FETUSDT,2026-03,-88.86293650172404,-2.200000000000002,STOP_LOSS,0.1840368003576994,0.17998799074983002,3897.497214987902,9,11615.332904302786
FETUSDT,2026-03,16.245204599957486,0.49999999999998934,TRAILING_LOCK,0.23934785768687725,0.2405445969753116,3867.905857132828,4,11631.578108902744
FETUSDT,2026-03,-88.31159363403304,-2.199999999999991,STOP_LOSS,0.23264652348160744,0.2275282999650121,3873.315510264614,4,11543.266515268711
ANKRUSDT,2026-03,-87.64109669052635,-2.200000000000002,STOP_LOSS,0.005601119800284504,0.005477895164678245,3843.9077495844813,10,11455.625418578185
FETUSDT,2026-03,58.95601124863277,1.625485928141468,TRAILING_LOCK,0.2319463865339756,0.23571664240791798,3814.723264386536,26,11514.58142982682
ANKRUSDT,2026-03,-87.42330804781749,-2.200000000000013,STOP_LOSS,0.005791157850064337,0.0056637523773629215,3834.3556161323313,6,11427.158121779
ANKRUSDT,2026-03,244.29664262226407,6.499999999999995,TAKE_PROFIT,0.005481095817871391,0.005837367046033031,3805.2436545524074,56,7865.196073585204
